         87183965 function calls (73275312 primitive calls) in 11.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      149    0.000    0.000    0.000    0.000 {built-in function min}
        2    0.000    0.000    0.000    0.000 __init__.py:350(namedtuple)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      171    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:121(_path_join)
     35/9    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap>:1002(_find_and_load)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
     23/5    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
       19    0.000    0.000    0.003    0.000 frozen importlib._bootstrap_external:1398(_get_spec)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        4    0.000    0.000    0.000    0.000 abc.py:105(__new__)
       45    0.000    0.000    0.002    0.000 mcts.py:9(simulate)
       13    0.000    0.000    0.000    0.000 {built-in function _imp.source_hash}
        2    0.000    0.000    0.000    0.000 {built-in function eval}
        3    0.000    0.000    0.001    0.000 argparse.py:1310(__init__)
       29    0.000    0.000    0.005    0.000 frozen importlib._bootstrap_external:1051(get_data)
       29    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 _lzma.py:7(<module>)
        7    0.000    0.000    0.000    0.000 shutil.py:1342(get_terminal_size)
       16    0.000    0.000    0.000    0.000 {built-in function _imp._fix_co_filename}
       20    0.000    0.000    0.001    0.000 re.py:289(_compile)
        7    0.000    0.000    0.010    0.001 argparse.py:161(__init__)
     12/4    0.000    0.000    0.000    0.000 sre_compile.py:87(_compile)
       12    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       26    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        7    0.000    0.000    0.000    0.000 {built-in function posix.get_terminal_size}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       18    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:711(spec_from_file_location)
       37    0.000    0.000    0.000    0.000 argparse.py:1363(register)
        3    0.000    0.000    0.002    0.001 gettext.py:546(find)
      109    0.000    0.000    0.000    0.000 {built-in function abs}
      374    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       87    0.000    0.000    0.002    0.000 frozen importlib._bootstrap_external:135(_path_stat)
      214    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.006    0.002 blackjack.py:42(__init__)
     24/5    0.000    0.000    0.019    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       16    0.000    0.000    0.005    0.000 frozen importlib._bootstrap_external:660(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
       16    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1092(path_stats)
       53    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1361(_path_importer_cache)
       32    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:127(_path_split)
        6    0.000    0.000    0.000    0.000 gettext.py:215(_expand_lang)
       67    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
       18    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1524(_get_spec)
     17/1    0.000    0.000   11.043   11.043 {built-in function exec}
       26    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      205    0.000    0.000    0.000    0.000 {built-in function _imp.acquire_lock}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       29    0.000    0.000    0.000    0.000 random.py:343(choice)
       27    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
