         87183965 function calls (73275312 primitive calls) in 11.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:1618(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 test_blackjack.py:77(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in function __pypy__.newdict}
        1    0.000    0.000    0.000    0.000 argparse.py:1103(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:107(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1652(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:769(Action)
        1    0.000    0.000    0.000    0.000 blackjack.py:41(Deck)
        1    0.000    0.000    0.000    0.000 argparse.py:1816(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 _lzma.py:389(Allocator)
        1    0.000    0.000    0.000    0.000 argparse.py:201(_Section)
        1    0.000    0.000    0.000    0.000 _sha512.py:258(sha384)
        1    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        2    0.000    0.000    0.000    0.000 {built-in function sys._getframe}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
        1    0.000    0.000    0.000    0.000 argparse.py:939(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:904(_StoreAction)
        1    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 {method '__next__' of 'itertools.count' objects}
        1    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
        1    0.000    0.000    0.000    0.000 _lzma.py:347(_StructToPy)
        1    0.000    0.000    0.000    0.000 argparse.py:1288(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1233(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1061(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:996(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1034(_AppendConstAction)
        3    0.000    0.000    0.000    0.000 {built-in function __pypy__.builtinify}
        5    0.000    0.000    0.000    0.000 {built-in function _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 threading.py:943(_set_ident)
        1    0.000    0.000    0.000    0.000 argparse.py:962(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 _lzma.py:105(LZMAError)
        1    0.000    0.000    0.000    0.000 {built-in function iter}
        1    0.000    0.000    0.000    0.000 threading.py:476(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:1312(_MainThread)
        1    0.000    0.000    0.000    0.000 shutil.py:79(ExecError)
        1    0.000    0.000    0.000    0.000 argparse.py:979(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.000    0.000 argparse.py:705(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1131(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:740(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:677(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 shutil.py:85(RegistryError)
        1    0.000    0.000    0.000    0.000 argparse.py:688(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:760(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 shutil.py:69(Error)
        1    0.000    0.000    0.000    0.000 argparse.py:666(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 _lzma.py:357(IndexStreamData)
        1    0.000    0.000    0.000    0.000 shutil.py:75(SpecialFileError)
        1    0.000    0.000    0.000    0.000 argparse.py:1222(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1295(__init__)
        1    0.000    0.000    0.000    0.000 shutil.py:82(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:72(SameFileError)
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1147(daemon)
        1    0.000    0.000    0.000    0.000 _lzma.py:361(IndexBlockData)
        1    0.000    0.000    0.000    0.000 threading.py:750(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 shutil.py:89(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mcts.py:62(mcts_policy)
        1    0.000    0.000    0.000    0.000 {method '__init__' of 'ArgumentParser' objects}
        1    0.000    0.000    0.000    0.000 threading.py:785(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in function _thread._set_sentinel}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 {method '__init__' of '_ArgumentGroup' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1733(identity)
